PL_Code,Description,Inventory_Action,Normalized_Inventory_Value,Movement_Status,Source_Universe,Inventory_Value
031431700058,STAINLESS STEEL WIRE ROPE (SIZE-4 MM),Retain,858900.0,Active,Operational,858900.0
10100241011,"PLUNGER,GOVERNOR SPRING OEM:CU Part No:70820 Make:NA",Dispose,28.0,Dead Stock,Operational,28.0
10300601013,Tachometer Meter  OEM:GR Part No:105652090146 Make:NA,Dispose,500.0,Dead Stock,Operational,500.0
129801400020,INDICATION PANEL FOR BLOCK WORKING (Single/double line),Dispose,0.0,Dead Stock,Operational,0.0
185100110017,PVC PIPE 25MM DIA EACH 3METERS LENGTH,Rationalize,0.0,Slow Moving,Operational,0.0
185100110017,PVC PIPE 25MM DIA EACH 3METERS LENGTH,Rationalize,0.0,Slow Moving,Operational,0.0
185100110042,PVC PIPE 25MM DIA,Dispose,0.0,Dead Stock,Operational,0.0
230201270112,EMPTY CAN - 10 LTR,Dispose,120.0,Dead Stock,Operational,120.0
231057680062,Test link/Box for Lightning Arrester,Retain,3552.0,Active,Operational,3552.0
232600120016,DC-DC CONVERTER,Rationalize,0.0,Slow Moving,Operational,0.0
232600122050,"DC-DC CONVERTER 24-32V/5A, SUITABLE FOR STATCON MAKE IPS.",Retain,0.0,Active,Operational,0.0
232600122657,DC-DC Converter 24-40V/10A AMARA RAJA  Make,Retain,876645.6,Active,Operational,876645.6
232900600251,FDC CARD FOR MSDAC GG TRONICS,Rationalize,0.0,Slow Moving,Operational,0.0
236400070013,Lead tablets of 10mm diameters for sealing,Retain,4073.61,Active,Operational,4073.61
237900070815,Indicative Type Surge Protection Device Class D Device For 24 DC Type .,Rationalize,33800.0,Slow Moving,Operational,33800.0
237900070815,Indicative Type Surge Protection Device Class D Device For 24 DC Type .,Retain,0.0,Active,Operational,0.0
237900070815,Indicative Type Surge Protection Device Class D Device For 24 DC Type .,Retain,0.0,Active,Operational,0.0
237902930042,GI PIPE 50 MM DIA,Retain,46703.76,Active,Operational,46703.76
29610151,Fire detection unit mother board type-E537-AD2L.,Retain,28000.0,Active,Operational,28000.0
30057760,"HEX HEAD BOLT (M20 X 70 mm) WITH  HEX.NUT,SPRING LOCK WASHER AND SPLIT PIN TO  DRG NO.J&TD....",Dispose,15990.0,Dead Stock,Operational,15990.0
301001320132,ELECTRONIC PUSH BUTTON TELEPHONE WITH CALLER ID AND SPEAKER,Dispose,31500.0,Dead Stock,Operational,31500.0
305302300014,HEAVY DUTY DRILL BITT (HSS) SIZE 4.00 MM MAKE by: JK/ MIRINDA/I.T (Indian Tools),Dispose,96.0,Dead Stock,Operational,96.0
305609390040,LOCK ORDINARY,Dispose,60.0,Dead Stock,Operational,60.0
305702430016,"Petroleum jelly, colour -White applicable for battery terminal",Rationalize,0.0,Slow Moving,Operational,0.0
331200520110,ROTARY KEY Transmission (RKT),Dispose,0.0,Dead Stock,Operational,0.0
331200520110,ROTARY KEY Transmission (RKT),Retain,484832.5,Active,Operational,484832.5
331200520844,ROTARY KEY Transmission (RKT),Retain,2885707.99,Active,Operational,2885707.99
336800480025,120 AH VRLA battery conforming to RDSO specification No: IRS/S-93/96 (A) (Amd.1) or lates....,Rationalize,0.0,Slow Moving,Operational,0.0
337300030133,"Transformer 230VAC/110V AC,3000 VA",Retain,25699.57,Active,Operational,25699.57
356100660055,YELLOW LED MAIN ASPECT,Rationalize,0.0,Slow Moving,Operational,0.0
371572210520,EPOXY PAINT GLOSSY in  golden yellow colour (packing resin in 20 lrs MS Drums and Hardner....,Retain,0.0,Active,Operational,0.0
371572210567,EPOXY GEL,Rationalize,0.0,Slow Moving,Operational,0.0
390300140025,". ASTRONOMICAL TIMER SWITCH FOR STREET LIGHT CONTROL SINGLE PHASE, 10KW/73A, 230V50HZ, IP ....",Dispose,0.0,Dead Stock,Operational,0.0
396800140020,BATTERY 12V 42AH .,Dispose,0.0,Dead Stock,Operational,0.0
396800560033,SMF LEAD ACID BATTERY 12V 42 AH,Rationalize,0.0,Slow Moving,Operational,0.0
400200120017,Wire coil PVC 0.6 Sq.mm (HOOK UP WIRE),Rationalize,0.0,Slow Moving,Operational,0.0
400200120029,PVC Wire coil of size 16/0.2 Sqmm,Dispose,0.0,Dead Stock,Operational,0.0
400200120029,Wire coil PVC of size 16/0.2 Sqmm (100MTR LENGTH),Retain,230327.77,Active,Operational,230327.77
40053982,"FLEXIBLE CORDS WITH COPPER CONDUCTOR FOR VOLTAGE UPTO AND INCLUDING 1100 VOLTS, TWIN CORE ....",Rationalize,0.0,Slow Moving,Operational,0.0
400580173311,FIRE ALARM 25MM RED COLOURED PVC PIPE,Rationalize,17723.44,Slow Moving,Operational,17723.44
400580175939,PVC CABLE 12C X 1.5 Sqmm,Retain,0.0,Active,Operational,0.0
40070013,CABLE PVC COPPER 3/.7MMBLAC,Dispose,0.0,Dead Stock,Operational,0.0
40070359,Wire coil 3/0 75 mm,Monitor,0.0,,Strategic,0.0
40070980,"PVC INSULATED,4CORE, 25 SQ.mm PVC SHEATHED, UNARMOURED FLEXIBLE COPPER CABLE (354/0.3mm) T....",Dispose,0.0,Dead Stock,Operational,0.0
40071110,CABLE 3/0.75mm SINGLE CORE PVC INSULATED UNARMOURED RAILWAY SIGNALLING CABLE COMPRISING OF....,Dispose,0.0,Dead Stock,Operational,0.0
40071110,CABLE PVC INSULATED UNARMOURED SINGLE CORE MULTI STRAND COPPER CONDUCTOR OF SIZE 1.5 SQMM ....,Dispose,1400.0,Dead Stock,Operational,1400.0
40071110,CABLE 3/0.75mm SINGLE CORE PVC INSULATED UNARMOURED RAILWAY SIGNALLING CABLE NOMINAL CROSS....,Rationalize,50855.64,Slow Moving,Operational,50855.64
400784330017,CABLE PVC & POLYTHENE INSULATED.,Dispose,0.0,Dead Stock,Operational,0.0
400785680012,PVC COPPER CABLE SINGLE CORE UNSHEATHED CABLE ( ONE COIL 100 MTRS),Dispose,9204.0,Dead Stock,Operational,9204.0
400785690017,PVC INSULATED CABLE 19C x 1.5 sq.mm,Rationalize,0.0,Slow Moving,Operational,0.0
400900010440,CABLE 3 core X 10 Sq.mm Aluminium IN BITTS,Retain,28560.0,Active,Operational,28560.0
400900640010,PVC INSULATED CABLE  2C x 25 sq.mm,Rationalize,9536.0,Slow Moving,Operational,9536.0
400900650015,PVC INSULATED CABLE 30C x 1.5 sq.mm,Retain,0.0,Active,Operational,0.0
400900850016,WIRE COIL PVC 16/0.2 MM,Retain,21358.86,Active,Operational,21358.86
400900850016,WIRE PVC 16/0.2 MM,Retain,16024.4,Active,Operational,16024.4
400909210012,cable 3 C x 2.5 sqmm,Rationalize,203000.0,Slow Moving,Operational,203000.0
401100050016,Release Copper Cable (Various Type),Rationalize,324.0,Slow Moving,Operational,324.0
401107470011,INDOOR CABLE 60 Core,Retain,11000.0,Active,Operational,11000.0
401107473190,INDOOR CABLE 40 Core X 0.6 MM,Retain,780435.0,Active,Operational,780435.0
401107521160,CAT6 STP Cable,Rationalize,21350.0,Slow Moving,Operational,21350.0
401107570017,"PVC Flexible Cable wire 10 sq mm Cross Section Multi stranded wire copper Conductors , of ....",Dispose,0.0,Dead Stock,Operational,0.0
401107900017,PVC INSULATED CABLE 12C x 1.5 sq.mm,Retain,0.0,Active,Operational,0.0
401107910011,PVC INSULATED CABLE 2C x 2.5 sq.mm,Rationalize,123500.0,Slow Moving,Operational,123500.0
403300190518,Wire Coil PVC MULTICORE 4 sq mm (100Mtr coil),Rationalize,0.0,Slow Moving,Operational,0.0
403300300014,WIRE COIL 3/ 0.75  SQMM,Rationalize,122833.87,Slow Moving,Operational,122833.87
403300300014,WIRE COIL 3/ 0.75  SQMM,Rationalize,39034.4,Slow Moving,Operational,39034.4
403600040101,Released Power Cable 2C X 25sqmm,Dispose,0.0,Dead Stock,Operational,0.0
