PL_Code,Description,Business_Unit,Criticality,Criticality_Name,ABC_Class,Forecast_Method,Forecastability_Class,Forecast_2026_27,Current_Stock,Strategic_Stock,Operational_Stock,Lead_Time_Months,Pending_Supply,Unit_Cost,Inventory_Value,Supplier_Info,Procurement_History
561300652300,MCE (Part no. H001M207R1) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ver....,MAS,,,,SBA,Very Low,39.9,,,,,,,,Yes,Yes
561300652311,FPD 25 KHZ (Part no. H001M102R1) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2....,MAS,,,,SBA,Very Low,45.125,,,,,,,,Yes,Yes
561300672279,Event Logger For SSDAC (G.G.Tronics Make),MAS,,,,SBA,Very Low,0.8143,,,,,,,,,
561300850030,Spring Tension Adjustero for DLBI (Double Line Block Instrument),MAS,,,,SBA,Very Low,11.4,,,,,,,,Yes,Yes
561300961344,Supply of Tx 21/25 KHZ coil assembly for GG tronic make HASSDAC as per RDSO specification No. RDSO/S....,MAS,,,,TSB,Very Low,5.1516,,,,,,,,Yes,Yes
561301300025,Contact Spring Asembly for ELB GATE,MAS,,,,SBA,Very Low,91.2323,,,,,,,,Yes,Yes
561302180039,ALUMINIUM SPACER RING FOR CLS (8MM),MAS,,,,No Forecast,,,,,,,,,,,
561302440049,OTTO 25 TERMINAL,MAS,,,,SBA,Very Low,59.5333,,,,,,,,Yes,Yes
561303240020,WAGO FUSE TERMINAL,MAS,,,,SBA,Very Low,73.1702,,,,,,,,Yes,Yes
561548500026,BATTERY SECONDARY CELLS 300AH/2V UNCHARGED,MAS,,,,SBA,Very Low,151.3707,,,,,,,,Yes,Yes
