PL_Code_A,PL_Code_B,Description_A,Description_B,Match_Score,Match_Type
501400350020,570102815889,Scanner EPSON V39,Scanner Epson V39,1.0,Description-OP
539805825807,539813610020,KRONE TOOL,KRONE TOOL,1.0,Description-OP
539813440022,539813442079,CABLE FAULT LOCATOR,CABLE FAULT LOCATOR,1.0,Description-OP
539831871011,509000506870,WiFi Router,WIFI ROUTER,1.0,Description-OP
549005791499,549005791396,Solder soft A Grade,SOLDER SOFT  A-GRADE,1.0,Description-OP
560604970097,539802996380,DIGITAL INSULATION TESTER,DIGITAL INSULATION TESTER,1.0,Description-OP
560604970097,539802996457,DIGITAL INSULATION TESTER,DIGITAL INSULATION TESTER,1.0,Description-OP
726001400205,560605006124,HANDHELD BRUSH CUTTER / LINE TRIMMER,HANDHELD BRUSH CUTTER / LINE TRIMMER,1.0,Description-OP
789900328123,539894880234,Office executive table Size 150X90X67 cm Right side - 03 Drawers & Left side one drawer,Office executive table Size 150X90X67 cm Right side - 03 Drawers & Left side one drawer,1.0,Description-OP
795900190130,569047300020,JUNGLE HAT,JUNGLE HAT,1.0,Description-OP
551200010789,54252222,E -TYPE LOCK,E-TYPE LOCK,1.0,Description-SK
549005791499,549005791396,Solder soft A Grade,SOLDER SOFT  A-GRADE,1.0,Prefix8-OP
539813440022,539813442079,CABLE FAULT LOCATOR,CABLE FAULT LOCATOR,1.0,Prefix8-OP
539812073467,539812073637,UTP CAT 6 cable 23 AWG as per EIA/TIA-568-C.2 standard,SCH B-04 UTP CAT 6 cable 23 AWG as per EIA/TIA-568-C.2 standard for CCTV cameras in all ....,0.636,Prefix8-OP
539804752183,539804754143,OFC cable 24 fibre armoured as per RDSO specification no. IRS:TC:55/2006 Rev 1 with amendment no.3 ....,Sch B-26 OFC cable 24 fibre armoured as per RDSO specification No.IRS:TC:55/2006 Rev.l fo....,0.625,Prefix8-OP
539898330307,539898331038,OFC Joint closure conforming to TEC Spec.for Optic Fibre Cable (24 Fibres),SCH B5-60 Optical fibre Cable joint closure (24 fibres) conforming to TEC Spec No.TEC GR/....,0.526,Prefix8-OP
501300041401,501300043185,"OFC patch cord 7 mtrs length (SC-LC,single mode, duplex)",SCH B-23 Single Mode duplex OFC Patch Cord (length-5m) (LC-SC/SC-SC/LC-LC) for CCTV Camer....,0.5,Prefix8-OP
501300041401,501300041644,"OFC patch cord 7 mtrs length (SC-LC,single mode, duplex)",OFC PATCH CHORD LC-SC/SC-SC 5 MTRS LENGTH,0.462,Prefix8-OP
539898330307,539898331040,OFC Joint closure conforming to TEC Spec.for Optic Fibre Cable (24 Fibres),SCH B5-61 Optical fibre Cable joint closure (48 fibres) conforming to TEC Spec No.TEC GR....,0.45,Prefix8-OP
539813440710,539813442079,"Cable/Pipe Route, fault and marker locator",CABLE FAULT LOCATOR,0.429,Prefix8-OP
539820980087,539820980129,Nylon Rain Coat shirt with cap and pant,NYLON RAIN COAT,0.375,Prefix8-OP
501000263740,501000264214,GI Pipe 50mm Dia 3.65mm Thick,GI PIPE 50MM DIAMETER,0.375,Prefix8-OP
539848730089,539848730107,IPS/Charger Failure SMS Alert System,SMS ALERT SYSTEMS IN FAILURE TIME,0.333,Prefix8-OP
539863350028,539863350041,SPECIAL EARTHING AND BONDING SYSTEM AS PER RDSO SPEC. RDSO/SPN/197/2008 OR LATEST,SPECIAL EARTHING AND BONDING SYSTEM WITH ACCESSORIES,0.312,Prefix8-OP
539802804167,539802804179,HDPE PIPE O.D 40MM I.D 33MM,HDPE PIPE,0.286,Prefix8-OP
539802804118,539802804179,HDPE PIPE 110MM DIA 5.5 MM THICK,HDPE PIPE,0.286,Prefix8-OP
539812073467,539812072098,UTP CAT 6 cable 23 AWG as per EIA/TIA-568-C.2 standard,STP CAT6 Cable with should be compliant with latest EIA/TIA-568-B. 2-1 standard or latest ....,0.25,Prefix8-OP
569001120070,569001120124,Earthing arrangements for MSDAC Hut as per RDSO specifications RDSO/SPN/197/2016 and RDSO Lr .No STS....,Special earth and bonding system as per RDSO specification RDSO/SPN/197/2008 or latest.  ....,0.25,Prefix8-OP
569001120070,569001120112,Earthing arrangements for MSDAC Hut as per RDSO specifications RDSO/SPN/197/2016 and RDSO Lr .No STS....,Special earth and bonding system as per RDSO specification RDSO/SPN/197/2008 or latest.,0.25,Prefix8-OP
539802239713,539802239981,25 mm Conduit PVC Pipe as per RDSO /SPN/217/2018 ver - 2 -D1 With accessories,PVC CONDUIT PIPE 32 MM,0.235,Prefix8-OP
502355361120,502355360990,"Fire Alarm Power supply for Aspiration (AIR Sampling) Type smoke detector Power supply  (24V DC, 5A)....",VOICE LOGGER POWER SUPPLY UNIT 24V DC,0.235,Prefix8-OP
539898330307,539898330289,OFC Joint closure conforming to TEC Spec.for Optic Fibre Cable (24 Fibres),OFC joint closure for optic fiber cable 48 F for LUS work at 16 LC gates CGL-VM OF TRANSPR....,0.231,Prefix8-OP
539813440022,539813440708,CABLE FAULT LOCATOR,Cable fault locator ANDIG 5379 FOR AQUINT INFRATELE INDIA AT MAS-GDR STN,0.231,Prefix8-OP
539825241013,539825241189,GI pipe 100 mm dia 4.5mm thick,"GI pipe (50 mm dia 3.65 mm thick, IS 1239 part 1 grade) for FOB work by SRI SRINIVASA",0.227,Prefix8-OP
570109490283,570109490714,Industrial Grade Embedded Fanless PC with all accessories,"Embedded PC ¿ECX-3100 Intel i5 industrial grade, dual monitors  22 inch TFT LED , 32 inch....",0.211,Prefix8-OP
539820980099,539820980129,"Polyester Rain coat with Cap, Pant and Reflective tape",NYLON RAIN COAT,0.2,Prefix8-OP
549005791499,549005791384,Solder soft A Grade,WIPING SOLDER,0.2,Prefix8-OP
539898330307,539898330368,OFC Joint closure conforming to TEC Spec.for Optic Fibre Cable (24 Fibres),Optical fiber cable joint closure for 24 F FOR VSS REACH 3 WORK by I T I LIMITED-CHENNAI,0.2,Prefix8-OP
501000263740,501000267963,GI Pipe 50mm Dia 3.65mm Thick,GI PIPE 40 MM DIAMETER,0.2,Prefix8-OP
501000263740,501000264226,GI Pipe 50mm Dia 3.65mm Thick,GI PIPE 100 MM DIAMETER,0.2,Prefix8-OP
539802804118,539802805135,HDPE PIPE 110MM DIA 5.5 MM THICK,"HDPE pipe for 24F/48F 33 mm inner dia, 40 mm outer dia for Utility shifting  work by SRI S....",0.2,Prefix8-OP
539898330307,539898330277,OFC Joint closure conforming to TEC Spec.for Optic Fibre Cable (24 Fibres),joint enclosure for optic fiber cable 24 F for LUS work at 16 LC gates CGL-VM OF TRANSPRO,0.192,Prefix8-OP
549006530948,549006531011,SURGE PROTECTION DEVICE AS PER RDSO SPEC. No.RDSO/SPN/165/2012(Ver.3) or LATEST CONSIST OF STAGE 1(C....,SURGE PROTECTION DEVICE CLASS B & C,0.182,Prefix8-OP
539813440710,539813440708,"Cable/Pipe Route, fault and marker locator",Cable fault locator ANDIG 5379 FOR AQUINT INFRATELE INDIA AT MAS-GDR STN,0.176,Prefix8-OP
570100421847,570100421616,Station mastersblock panel for Single line-SSBPAC(D)as per RDSO/SPN/175/2005 or latest along with su....,13 Segment Display Card with Awago LED with suitable connectors for GPS clock as per RDSO ....,0.172,Prefix8-OP
539802616703,539802615050,19 inch 24U Rack,12 U RACK,0.167,Prefix8-OP
539802616569,539802615050,19 inch 12U Rack,12 U RACK,0.167,Prefix8-OP
539897071045,539897070703,"High Density Polyethylene Pipes (HDPE) of 110mm outer dia, 10mm wall thickness as per specification....",HDPE PIPE 33MM INNER & 40MM OUTER DIA,0.158,Prefix8-OP
539805825807,539805826125,KRONE TOOL,Krone tool for AQUINT INFRATELE  with various Engineering Works in MAS-GDR Sections,0.154,Prefix8-OP
539804752183,539804752225,OFC cable 24 fibre armoured as per RDSO specification no. IRS:TC:55/2006 Rev 1 with amendment no.3 ....,CABLE OFC 6 FIBER ARMOURED OPTIC FIBRE CABLE SM FOR ANNAIE 69 STN,0.148,Prefix8-OP
569001120070,569001120203,Earthing arrangements for MSDAC Hut as per RDSO specifications RDSO/SPN/197/2016 and RDSO Lr .No STS....,SCH B-18 Special earth (TRUE POWER LTD) and bonding system as per RDSO specification RDSO....,0.148,Prefix8-OP
539804752183,539804753072,OFC cable 24 fibre armoured as per RDSO specification no. IRS:TC:55/2006 Rev 1 with amendment no.3 ....,CABLE OFC 6 FIBER ARMOURED OPTIC FIBRE CABLE SM for FOB work by SRI SRINIVASA,0.138,Prefix8-OP
539804752183,539804752201,OFC cable 24 fibre armoured as per RDSO specification no. IRS:TC:55/2006 Rev 1 with amendment no.3 ....,CABLE OFC 12 CORE UNARMOURED OPTIC FIBRE CABLE,0.13,Prefix8-OP
539804752183,539804751828,OFC cable 24 fibre armoured as per RDSO specification no. IRS:TC:55/2006 Rev 1 with amendment no.3 ....,CABLE OFC 12 CORE UNARMOURED OPTIC FIBRE CABLE,0.13,Prefix8-OP
569003010103,569003010693,FIRE ALARM MULTI SENSOR DETECTOR DUAL OPTICAL/THERMAL WITH ROTARIES AND BACK BOXES INCLUDING BASE,FAULT ISOLATOR DETECTOR BASE,0.118,Prefix8-OP
539804752183,539804754222,OFC cable 24 fibre armoured as per RDSO specification no. IRS:TC:55/2006 Rev 1 with amendment no.3 ....,SCH B-29 OFC 12 core single mode armoured optic fibre cable ITU-G 652D for CCTV Cameras a....,0.118,Prefix8-OP
539804082797,539804082610,COVER MS FOR C.T.BOX,CT BOX 20 PAIR,0.111,Prefix8-OP
570100421859,570100421616,Microprocessor based SSBPAC(D) for single line including wiring relay rack without Relays as per RDS....,13 Segment Display Card with Awago LED with suitable connectors for GPS clock as per RDSO ....,0.107,Prefix8-OP
539804082797,539804082608,COVER MS FOR C.T.BOX,CT BOX 4 PAIR / 5 PAIR,0.1,Prefix8-OP
560604545830,560604545763,Electrical Drilling Machine input 110V model WDH 13/23mm heavy duty drill 595 watts on full load wit....,DRILLING MACHINE 1323 MM B8D,0.095,Prefix8-OP
539809943549,539809946186,Battery cable 16 Sq.mm Red Cable: 10Mtrs Length Cable with Lugs on both sides and 16 Sq.mm Black Cab....,SCH B-41 Cable 2 core x 1.5 sq.mm Screened/Shielded multistrand PVC insulated wire for sp....,0.094,Prefix8-OP
539809943549,539809946174,Battery cable 16 Sq.mm Red Cable: 10Mtrs Length Cable with Lugs on both sides and 16 Sq.mm Black Cab....,SCH B-40 Cable 2 core x 1.5 sq.mm Screened/Shielded multistrand PVC insulated wire for sp....,0.094,Prefix8-OP
