PL_Code,Description,Demand_Class,XYZ_Class,Forecast_Method
522002180021,TRANSFORMER 400/110V/1KVA as per RDSO Spec IRS.S.72/88 Ammendemnet 1 or latest,Intermittent,Z,SBA
522002180033,TRANSFORMER 400/110V/500VA,Intermittent,Z,SBA
522004290085,FCOM(Part No. H001M115RI) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ve....,Intermittent,Z,SBA
522004290103,MDP(Part No.H001M205R1) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ver 3....,Intermittent,Z,SBA
522004290115,MCPU(Part no. H001M209R1) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ve....,Intermittent,Z,SBA
522004290127,MSC(Part no.H001M221RI) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ver ....,Intermittent,Z,SBA
522004290139,MDC(Part no.H001M225) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ver 3 o....,Intermittent,Z,SBA
522005520025,Complete Communication Material including network switches among other items compatible with existin....,Dead,N/A,No Forecast
525500230316,SOLAR PANEL 12V/50W,Dead,N/A,No Forecast
528100010050,Condenser 1000 MFD 50V,Lumpy,Z,TSB
528100010103,"MPP Film AC Capacitor of 48 Micro farad, 600VAC, 50Hz, +/- 5% Tolerance",Intermittent,Z,SBA
528100030023,"MPP Film AC Capacitor of 36 Micro farad, 600VAC, 50Hz, +/- 5% Tolerance",Lumpy,Z,TSB
539800218676,"Sealed maintenance free VRLA battery set of 60 cells, 2V/300 Ah capacity each  (Stackable) in combin....",Intermittent,Z,SBA
539800218688,"Sealed maintenance free VRLA battery set of 60 cells, 2V/200 Ah capacity each (Stackable) in combina....",Intermittent,Z,SBA
539800218690,"Sealed maintenance free VRLA battery set of 60 cells, 2V/120 Ah capacity each  (Stackable) in combin....",Intermittent,Z,SBA
539800456678,Back Plane Module for Siemens make MSDAC as per RDSO specn. no. RDSO/SPN/176/2013 VER.3 or latest,Intermittent,Z,SBA
539800456903,FRAUSCHER make MSDAC Back Plane BP EXB 101-2-16TE-GS01-19957,Dead,N/A,No Forecast
539800639499,LED Torch Light (Flashing Unit),Intermittent,Z,SBA
539800699782,METAL 10MM CRIMPING TOOL,Intermittent,Z,SBA
539801491121,Long reach socket 13mm,Lumpy,Z,TSB
539801491133,Long reach socket 10mm,Intermittent,Z,SBA
539801491145,Long reach socket 11mm,Intermittent,Z,SBA
539801491157,Long reach socket 12mm,Intermittent,Z,SBA
539801491169,Stanley 1/4 inch Drive Metric Socket Set (37- Pieces) Model-STMT82672-0-12,Intermittent,Z,SBA
539801568695,Power Supply Module for MSDAC Siemens make as per RDSO Spec No. RDSO/SPN/176/2013 Ver 3.0 or latest,Intermittent,Z,SBA
539801568713,SIRIUS Card for MSDAC Siemens make as per RDSO Spec No. RDSO/SPN/176/2013,Intermittent,Z,SBA
539801568725,BLEA Card for MSDAC Siemens make as per RDSO Spec No. RDSO/SPN/176/2013 Ver 3.0 or latest,Intermittent,Z,SBA
539802239713,25 mm Conduit PVC Pipe as per RDSO /SPN/217/2018 ver - 2 -D1 With accessories,Lumpy,Z,TSB
539802616569,19 inch 12U Rack,Intermittent,Z,SBA
539802616703,19 inch 24U Rack,Intermittent,Z,SBA
539802804118,HDPE PIPE 110MM DIA 5.5 MM THICK,Lumpy,Z,TSB
539802804167,HDPE PIPE O.D 40MM I.D 33MM,Lumpy,Z,TSB
539802831377,STEU Card for MSDAC Siemens make as per RDSO Spec No. RDSO/SPN/176/2013 Ver 3.0 or latest,Intermittent,Z,SBA
539802851959,APPARUATUS CASE QUARTER SIZE,Dead,N/A,No Forecast
539802852010,Apparatus Case Full GRS (Make 2MM stainless Steel),Intermittent,Z,SBA
539802862386,HYLUM SHEET 6MM THICKNESS (8ft X 4ft),Lumpy,Z,TSB
539802900879,Fuse Auto changeover system (FACS Main System) as per RDSO/SPN/209/2012 Ver 1.0 or latest type capab....,Intermittent,Z,SBA
539804082797,COVER MS FOR C.T.BOX,Dead,N/A,No Forecast
539804752183,OFC cable 24 fibre armoured as per RDSO specification no. IRS:TC:55/2006 Rev 1 with amendment no.3 ....,Lumpy,Z,TSB
539805021573,"24 port Giga Bit layer 2switch, 24 x 10/100/1000 BASE-T PoE ports ? 4 x 1G (minimum) SFP+ ports with....",Intermittent,Z,SBA
539805046442,CRANK HANDLE GKP MAKE,Lumpy,Z,TSB
539805046570,CRANK HANDLE FOR IRS POINT MACHINE,Lumpy,Z,TSB
539805350052,ELECTRONIC TIMER RELAY 30 SECONDS,Lumpy,Z,TSB
539805423687,DATA CABLE FOR TPWS,Lumpy,Z,TSB
539805423699,DATA TAIL CABLE FOR TPWS,Intermittent,Z,SBA
539805423857,ACCESSORIES FOR LEU MODULE (PFSK & PIND CABLE) FOR TPWS,Intermittent,Z,SBA
539805423912,I/O Cables for TPWS,Intermittent,Z,SBA
539805423924,EMI Filters for TPWS,Intermittent,Z,SBA
539805714955,LED based stencil type route indicator (2Way) white LED (With Housing) as per the following specific....,Intermittent,Z,SBA
539805721194,Junction Type Route Indicator Unit 2 Way (FRP),Intermittent,Z,SBA
539805734220,Junction Type Route Indicator - 1 way,Intermittent,Z,SBA
539805736252,Junction Type Route Indicator Unit 3 Way (FRP),Intermittent,Z,SBA
539805736331,Junction Type Route Indicator Unit 1 Way (FRP),Dead,N/A,No Forecast
539805771483,FRP Shunt Signal unit,Intermittent,Y,SBA
539805825807,KRONE TOOL,Intermittent,Z,SBA
539805880508,(1) 3 POINT SAFETY NUT-22 Nos (2) SOCKET FOR 3 POINT SAFETY NUT-1 No (3) M20 X 100MM Sq.Hd BOLT-4 No....,Intermittent,Z,SBA
539805880545,Fastener Cover for Switch Extension Bracket LH & RH with M20 X 100 Blot with Castle Nut,Intermittent,Z,SBA
539806099363,Non-Metallic (FRP) Colour light signal housings for Railway signalling suitable for Two Aspect Compl....,Lumpy,Z,TSB
539806099570,LED SIGNAL CURRENT REGULATOR,Intermittent,Z,SBA
539809127060,CONTACT ASSEMBLY,Intermittent,Z,SBA
539809943549,Battery cable 16 Sq.mm Red Cable: 10Mtrs Length Cable with Lugs on both sides and 16 Sq.mm Black Cab....,Intermittent,Z,SBA
539809943550,Battery cable 25 Sq.mm Red Cable: 10Mtrs Length Cable with Lugs on both sides and 25 Sq.mm Black Cab....,Intermittent,Z,SBA
539810160026,Fit & Forget Lead wire 5 Mtrs 4 mm dia,Lumpy,Z,TSB
539810160051,Fit & Forget Lead wire 6 Mtrs 4 mm dia,Lumpy,Z,TSB
539810200024,FIT & FORGET LEAD WIRE 4 MTRS 4 MM DIA,Lumpy,Z,TSB
539810200036,FIT & FORGET LEAD WIRE 3 MTR 4 MM DIA,Lumpy,Z,TSB
539810200048,FIT & FORGET LEAD WIRE 1.5 MTR 4 MM DIA,Lumpy,Z,TSB
539810200050,FIT & FORGET BOND WIRE 2 MTRS 4MM DIA,Lumpy,Z,TSB
539810200190,FIT & FORGET BOND WIRE 3 MTRS 4MM DIA,Lumpy,Z,TSB
539810221015,Jacketed wire Rope 3.6 Mtrs 6mm dia,Lumpy,Z,TSB
539810410675,"Diagnostic Tool Kit - 1Leakage clamp meter of reputed make,1 Multimeter of reputed make,1 Android ta....",Dead,N/A,No Forecast
539810611024,LAMP 12V/24W/24W,Intermittent,Z,SBA
539810830056,Trunking and Capping as per Drg no. Proj/SG/MS/55A/2006,Lumpy,Z,TSB
539811049986,2 KVA AVR suitable for M/S Amararaja Make IPS conforming to RDSO Spec:No:RDSO/SPN/165/2012 Version 3....,Intermittent,Z,SBA
539811050022,SMPS based Integrated Power Supply(IPS) system for LC gate/Auto Hut as per RDSO Specification RDSO/S....,Intermittent,Z,SBA
539811050046,SMPS Based IPS System up to 6 Lines in RE area with 200 AH VRLA Batteries with all accessories,Intermittent,Z,SBA
539811130029,FUSE ND 2 Amps,Lumpy,Z,TSB
539811150030,FUSE ND 1 AMPS,Lumpy,Z,TSB
539811180021,"AUDIO FREQUENCY TRACK CIRCUIT END TERMINAL UNIT (Style T1 21) BOMBARDIER MAKE A""FREQUENCY RDSO SPECN....",Intermittent,Z,SBA
539811180045,AFTC ABB LMU,Intermittent,Z,SBA
539811180057,AFTC ABB TX SIDE (LMU),Intermittent,Z,SBA
539811180069,AFTC ABB TU SIDE (LMU),Intermittent,Z,SBA
539811180070,"ABB AFTC Track Coupling Unit E"" Frequency",Intermittent,Z,SBA
539811180082,"ABB AFTC Track Coupling Unit F"" Frequency",Intermittent,Z,SBA
539811180094,"ABB AFTC Track Coupling Unit G"" Frequency",Intermittent,Z,SBA
539811180100,"ABB AFTC Track Coupling Unit H"" Frequency",Intermittent,Z,SBA
539811190026,"AUDIO FREQUENCY TRACK CIRCUIT END TERMINAL UNIT (Style T1 21) BOMBARDIER MAKE B""FREQUENCY RDSO SPECN....",Intermittent,Z,SBA
539811200020,"AUDIO FREQUENCY TRACK CIRCUIT END TERMINAL UNIT (Style T1 21) BOMBARDIER MAKE C""FREQUENCY, RDSO SPEC....",Intermittent,Z,SBA
539811210025,"AUDIO FREQUENCY TRACK CIRCUIT END TERMINAL UNIT (Style T1 21) BOMBARDIER MAKE D""FREQUENCY, RDSO SPEC....",Intermittent,Z,SBA
539811230103,RJI End Post Nylon 52Kgs,Dead,N/A,No Forecast
539811230115,RJI End Post Nylon 90R,Dead,N/A,No Forecast
539811281019,"AFTC Lead wire for the use from TU/TCU/ETU to rail connectivity, consist to long lead wire made of 5....",Lumpy,Z,TSB
539811550250,FRP Type Main Signal Unit 3 Aspect,Intermittent,Z,SBA
539811600022,Siemens Shorting Bond 2.5 Mtrs Long,Intermittent,Z,SBA
539811710022,DTC-24 ALSTOM AFTC MODEM LF CARD,Lumpy,Z,TSB
539812073467,UTP CAT 6 cable 23 AWG as per EIA/TIA-568-C.2 standard,Dead,N/A,No Forecast
539812250020,Siemens Shorting Bond 4.5 Mtrs Long,Intermittent,Z,SBA
539812290028,USB to OPTO CONVERTOR (24V) DATA LOGGER,Intermittent,Z,SBA
539812480024,DTC-921 ALSTOM AFTC MODEM HF CARD,Intermittent,Z,SBA
539812480036,"TX-RX Module for Digicode DTC 24 AFTC Module, Frequency F1 Alstom Make.",Intermittent,Z,SBA
539812480048,"TX-RX Module for Digicode DTC 24 AFTC Module, Frequency F6 Alstom Make.",Intermittent,Z,SBA
539812601022,Mainteners Head Lamp (LED),Lumpy,Z,TSB
539812641044,ANNOUNCIATOR 12 WAY,Intermittent,Z,SBA
539812690020,INSULATION FOR D BRACKET (Sets) NYLON,Lumpy,Z,TSB
539812721052,Ni - Cad Power Pack for Magneto Telephone,Lumpy,Z,TSB
539812840016,CHOKE B TYPE,Lumpy,Z,TSB
539812900049,LED FOR ROAD WARNING RED,Lumpy,Z,TSB
539812910020,LED SIGNAL ROAD WARNING YELLOW,Lumpy,Z,TSB
539813440022,CABLE FAULT LOCATOR,Intermittent,Z,SBA
539813440710,"Cable/Pipe Route, fault and marker locator",Intermittent,Z,SBA
539813442018,GNSS based cable route tracer kit with receiver with built in mount for GNSS receiver suitable for d....,Intermittent,Z,SBA
539813960030,GRS APPARATUS CASE-RTU Type,Intermittent,Z,SBA
539813960169,GRS Apparatus Case with Heat Resistant Paint,Intermittent,Z,SBA
539814380288,"Operator VDU console consists of Industrial grade embedded fanless PC with 55 monitor (LED type, 4k ....",Intermittent,Z,SBA
539814380586,Commercial Grade VDU of Size 55 inch- Full HD including Supply of Fanless Embedded Industrial Grade ....,Intermittent,Z,SBA
539814382170,Commercial Grade Operator VDU of Size 55 inch- Full HD,Intermittent,Z,SBA
539814460065,"Relay QNNA1 6F/2B, 24V DC.",Lumpy,Z,TSB
539814460843,Relay QNNA1(4F-4B)With accessories,Intermittent,Z,SBA
539816700018,TRANSFORMER RECTIFIER 110V/24/2A,Lumpy,Z,TSB
539816761032,PVC Insulated Unsheathed Single Core Multi-strand Cable Copper conductor of size 7/1.4mm as per IRS:....,Lumpy,Z,TSB
539817320023,Siemens AFTC Frequency Selective Voltmeter,Intermittent,Z,SBA
539817320060,Digital frequency selective Voltmeter suitable for measuring AFTC Parameter(TTM) ABB AFTC,Intermittent,Z,SBA
539817430072,Processor card suitable for Efftronics make RTU as per Spec: IRS:S-99/2006 (Amdt-3),Intermittent,Z,SBA
539818371075,Stop Board/Sighting Board,Lumpy,Z,TSB
539818371191,Signal Number Plate with Clamp,Intermittent,Z,SBA
539819210180,MICROLOK II RACK,Dead,N/A,No Forecast
539819621026,TRACK FEED RESISTANCE CIRCULAR 0-15 OHMS,Lumpy,Z,TSB
539820420082,Galvanically isolated voltage transducers or voltage sensor or voltage sensing channel with high imp....,Dead,N/A,No Forecast
539820831033,HEATING ELEMENT FOR DISTILLED WATER PLANT 230V/1000W KETTLE TYPE,Lumpy,Z,TSB
539820860021,RCC CABLE MARKERS AS PER DRAWING No.CSTE/CN/OFC/1,Lumpy,Z,TSB
539820890037,Crank Horizontal of Sizes,Dead,N/A,No Forecast
539820980087,Nylon Rain Coat shirt with cap and pant,Intermittent,Z,SBA
539820980099,"Polyester Rain coat with Cap, Pant and Reflective tape",Lumpy,Z,TSB
539821090016,Thermo Shrink Cable Joint Kit for Quad Cable,Lumpy,Z,TSB
539821091100,Thermo Shrinkable Cable Joint Kit for  6 Quad Cable,Lumpy,Z,TSB
539821091215,Thermoshrink Jointing Kit for Underground PIJF Cable (TSF-2) As Per RDSO Specn No.RDSO/SPN/TC/57/ 20....,Intermittent,Z,SBA
539821910020,L Bracket Insulation (Sets) Nylon,Lumpy,Z,TSB
539822000011,RAIL DEFLECTOR ASSEMBLY WITH HARDWARE,Dead,N/A,No Forecast
539823791010,RELAY BASED EMERGENCY PANEL,Intermittent,Z,SBA
539825241013,GI pipe 100 mm dia 4.5mm thick,Lumpy,Z,TSB
539825611059,C Marker Board With Clamp,Intermittent,Z,SBA
539825640023,Fencing For Location Boxes,Lumpy,Z,TSB
539825640047,Fencing arrangement for GRS Apparatus case (WS PTJ/PER Make),Intermittent,Z,SBA
539825701012,LADDER SHOE,Lumpy,Z,TSB
539827130024,Platform for CLS Ladder,Intermittent,Z,SBA
539827750105,FIT & FORGET BOND WIRE 4 MTRS 4MM DIA,Intermittent,Z,SBA
539827750129,FIT & FORGET BOND WIRE 5 MTRS 4MM DIA,Intermittent,Z,SBA
539828400035,Pedastal Cotter Pin for  LB Gate,Lumpy,Z,TSB
539829410012,CEL MSDAC Reset panel,Dead,N/A,No Forecast
539829420029,CEL MSDAC Central Evaluator Rack,Dead,N/A,No Forecast
539829430011,CEL MSDAC Field unit,Dead,N/A,No Forecast
539829440028,CEL MSDAC Center Evaluator unit,Dead,N/A,No Forecast
539829480026,Supply of Transmitter Coil (Tx Coil) 21/25 KHz suitable for MSDAC of GG Tronics make.,Lumpy,Z,TSB
539829480038,Supply of Receiver Coil (Rx Coil) 21/25 KHz suitable for MSDAC of GG Tronics make as per RDSO Spec. ....,Lumpy,Z,TSB
539829490019,CEL MSDAC PDCU,Dead,N/A,No Forecast
539829500013,CEL MSDAC Power supply card,Dead,N/A,No Forecast
539829520024,CEL MSDAC Surge arrestor protection devices (SPD),Dead,N/A,No Forecast
539829580021,110V DC Motor with Gear Box IP 67 Type 160V AC Immunity for Electric Point Machine (IRS Type) and as....,Lumpy,Z,TSB
539829590166,HBL make DC-DC Converters  DC-DC 24-40V/10A with fittings and wiring to complete the installation as....,Intermittent,Z,SBA
539829590180,230/110VAC 1KVA TRANSFORMER SUITABLE FOR IPS SYSTEM STATCON MAKE,Intermittent,Z,SBA
539829900088,FRONT END PROCESSOR ( FEP ),Intermittent,Z,SBA
539830190012,CEL MSDAC RX Coil 15 Metre,Dead,N/A,No Forecast
539830200017,CEL MSDAC TX Coil 15 Metre,Dead,N/A,No Forecast
539830210011,CEL MSDAC Line Verification box,Dead,N/A,No Forecast
539830680131,MSDAC Siemens Make Station Master Room Card (SMR),Smooth,X,SES/Holt
539830920026,Siemens make AFTC Tuning unit D 10 - B 20 for F5 Frequency as per RDSO specification no. RDSO/SPN/14....,Intermittent,Z,SBA
539830920038,Siemens make AFTC Tuning unit D 10 - B 24 for F8 Frequency as per RDSO specification no. RDSO/SPN/14....,Intermittent,Z,SBA
539830920040,Siemens make AFTC Tuning unit D 13 - B 23 for F9 Frequency as per RDSO specification no. RDSO/SPN/14....,Intermittent,Z,SBA
539830920051,Siemens make AFTC Tuning unit D 14 - B 9 for F9 Frequency as per RDSO specification no. RDSO/SPN/146....,Intermittent,Z,SBA
539830920063,Siemens make AFTC Tuning unit D 13 - B 10 for F10 Frequency as per RDSO specification no. RDSO/SPN/1....,Intermittent,Z,SBA
539830920075,Siemens make AFTC Tuning unit D 10 - B 23 for F7 Frequency as per RDSO specification no. RDSO/SPN/14....,Intermittent,Z,SBA
539830920087,Siemens make AFTC Tuning unit D 13 - B 29 for F12 Frequency as per RDSO specification no. RDSO/SPN/1....,Intermittent,Z,SBA
539830920117,"Tuning Unit D13-B12, F-12 Frequency for SIEMENS make Audio Frequency Track Circuit AFTC as per RDSO ....",Intermittent,Z,SBA
539831440097,L-K7C Subrack with motherboard for Kyosan make EI,Intermittent,Z,SBA
539831871011,WiFi Router,Intermittent,Z,SBA
539834880023,"Alstom S"" Bond 26.7 Mtrs Long",Intermittent,Z,SBA
539834880035,"Alstom S"" Bond 28 Mtrs Long",Lumpy,Z,TSB
539834880047,"Alstom S"" Bond 29.1 Mtrs Long",Lumpy,Z,TSB
539834880059,"Alstom S"" Bond 30.5 Mtrs Long",Intermittent,Z,SBA
539834880084,Siemens Alpha Bond 18 Mtrs,Lumpy,Z,TSB
539834880096,"Siemens S"" Bond 11 Mtrs",Lumpy,Z,TSB
539834880102,"Siemens S"" Bond 16 Mtrs",Intermittent,Z,SBA
539834880114,Siemens AFTC Tuning Unit - TX (F11) D14- B11,Intermittent,Z,SBA
539834880138,Siemens AFTC Equipotential Bond 21.5 Mtrs,Lumpy,Z,TSB
539835220092,Calling on Signal Unit,Intermittent,Z,SBA
539835220262,Calling on Signal Unit,Lumpy,Z,TSB
539835790029,ALSTOM AFTC Short Circuit Bond 2.1 Mtrs,Intermittent,Z,SBA
539836000026,Retro reflective Arrow Marker,Lumpy,Z,TSB
539836000038,Retro Reflective P Marker,Intermittent,Z,SBA
539836000040,Retro Reflective G Marker,Lumpy,Z,TSB
539836000051,Retro Reflective C marker,Lumpy,Z,TSB
539836410034,EPOXY GEL COAT RED,Lumpy,Z,TSB
539836631014,Metravi 4 digit Backlit LCD Hand Held True Rms Clamp Meter,Lumpy,Z,TSB
539836631099,Digital AC/DC clamp meter capable of measuring low currents in mA range as well as high current upto....,Intermittent,Z,SBA
539837611023,Electronic Gate Warning Bell 12V DC/110V AC,Intermittent,Z,SBA
539838080025,DIGITAL  EARTH RESISTANCE TESTER,Lumpy,Z,TSB
539838080062,Digital Clamp on Ground Resistance Tester with Leakage Current Measurement,Lumpy,Z,TSB
539839010020,EMPTY CABLE DRUM,Intermittent,Z,SBA
539841501071,FUSE RESETTABLE (PPTC) 4 AMPS,Intermittent,Z,SBA
539841501083,FUSE RESETTABLE (PPTC) 6 AMPS,Lumpy,Z,TSB
539843690030,Control Panel for Station,Intermittent,Z,SBA
539844210026,CT Box Sheet Iron MS,Intermittent,Y,SBA
539844530070,Bridge Clamp Assembly (Galvanized),Lumpy,Z,TSB
539844530094,MS clamp with GI coated - a) Angle 75x75x6x980 mm length b) Angle 50x50x6x350 mm - 2 Nos c) 25x25x6 ....,Intermittent,Z,SBA
539845930018,Rod Roller Segment Arrangement,Intermittent,Z,SBA
539847770031,SC TYPE Rack/Wall mountable 24F Fibre management system (FMS) confirming to RDSO/SPN/TC/37/2020 Revi....,Lumpy,Z,TSB
539847770043,SC TYPE Rack/Wall mountable 48F Fibre management system (FMS) confirming to RDSO/SPN/TC/37/2020 Revi....,Intermittent,Z,SBA
539848730089,IPS/Charger Failure SMS Alert System,Lumpy,Z,TSB
539849150019,EWS LOCK (1 KEY FOR 10 LOCKS),Lumpy,Z,TSB
539849380013,TAPPER PIN FOR AFTC 12MM,Lumpy,Z,TSB
539849380025,AFTC S.S TAPPER PIN 18MM,Lumpy,Z,TSB
539849560064,ABB AFTC LONG LEAD CABLE,Intermittent,Z,SBA
539849560076,ABB AFTC SHORT LEAD CABLE,Intermittent,Z,SBA
539849580026,ARROW INDICATOR,Intermittent,Z,SBA
539849980028,BATTERY CHARGER 230V/60V/10A,Intermittent,Z,SBA
539850100016,EXIDE 12 Volt Volt Lead Acid Battery,Lumpy,Z,TSB
539850510024,FUSE HRC 50 AMPS (BOLTED TYPE),Lumpy,Z,TSB
539850730012,Mushroom box.,Dead,N/A,No Forecast
539850790021,LEVER LOCK CUM CIRCUIT CONTROLLER,Dead,N/A,No Forecast
539851050021,Octaganal Boom for EOLB Gaate (MFT Make),Intermittent,Z,SBA
539851110029,Fuse block (without ND Fuse) PBT as RDSO specn. No. IRS:S-75/2006(Rev. 2) drg No. SA-23748 (Alt. 4).,Lumpy,Z,TSB
539851170051,FUSE KE 10 AMPS,Lumpy,Z,TSB
539851170063,FUSE KE 32 AMPS (NON BOLTED TYPE),Intermittent,Z,SBA
539851240030,FUSE KE 2 AMPS,Lumpy,Z,TSB
539851240041,FUSE KE 4 AMPS,Lumpy,Z,TSB
539851240053,FUSE KE 6 AMPS,Intermittent,Z,SBA
