PL_Code,Description,Movement_Status,Inventory_Aging_Class,Inventory_Value,Operational_ABC,Source_Universe,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
509041036045,ADOPTER FC 0 DB (0 DB CONNECTOR),Dead Stock,Dead Stock,60.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
502200280020,AUTO EXCHANGE INTERFACE EQUIPMENT,Unknown,Unknown,18558.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
527900082614,ALPHA Charger for MOTOROLA Walkie Talkie Set,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539805559238,BOX 5T 20021 FOR (IRON)CABLE TERMINATION,Unknown,Unknown,10400.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
505200020031,BELL PUSH,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501803720020,BOOSTER TV,Dead Stock,Dead Stock,26000.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539816930024,Bitumen compound SPL,Unknown,Unknown,30840.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
509040475288,POWER SUPPLY UNIT 2 AMPS WITH 12V/7AH BATTERY FOR WAY STATION CONTROL PHONE,Active,Active,87331.8,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
508312590024,BATTERY M/F 24V/7AH CHARGER,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
520500451223,BATTERY FOR WALKIE TALKIE GP68,Unknown,Unknown,83780.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
396800140020,BATTERY 12V 42AH .,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
509040374230,BATTERY MAINTENANCE FREE  12V/7AH,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539812630034,TSF KIT 4/6 Quad CABLE,Active,Active,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539812630046,TSF 1 KIT FOR 10 PAIR / 20 PAIR PIJF UG CABLE,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539812630058,TSF 2 KIT FOR 50 PAIR PAIJF UG CABLE,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539812630060,TSF 3 KIT FOR 100 PAIR PIJF UG CABLE,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539804082608,CT BOX 4 PAIR / 5 PAIR,Unknown,Unknown,18000.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
50132600,CORD FLEXIBLE 4 WAY 1.5 MTS LONG TO ITI CODE NO.54217/A/1T1 MAKE TO SUIT TELEPHONE 601 TYP....,Active,Active,34295.5,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
503524320022,Line Card 4 way,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
503526680029,Cord 8 way,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430800071030,CASE INNER METAL 20T,Unknown,Unknown,200000.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430800071042,CASE INNER METAL 5T JOINT,Unknown,Unknown,179200.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
561199380148,CABLE UTP CAT6,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
529002070025,CABLE 3 CORE,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539805290020,CHARGER VRLA 230V / 24V,Active,Monitor,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000013450,CONTROL EQUIPMENT HQ,Dead Stock,Dead Stock,17995.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
508313320053,SMPS Battery CHARGER 48V/25AMP(1+1),Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539846380026,Equipment Mounting Tray,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
500600571445,6 PIN EMERGENCY SOCKET,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
50210014,Emergency Socket Box made of FRP material AS PER Specn. No. RDSO/SPN/TC/44/2002. Ver.2 wit....,Active,Active,208046.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
527900443040,GENERATOR RINGING PUNCOM,Active,Monitor,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
527900062767,INVERTER 1 KVA,Unknown,Unknown,69600.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539802545800,JUMPER WIRE,Active,Active,23370.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
529001730054,NETWORK BRANCHING HYBRID 4WIRE-6WAY.,Unknown,Unknown,82187.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
