PL_Code,Description,Criticality,Inventory_Status,Movement_Status,Inventory_Action,Inventory_Value,Source_Universe
461994153135,JOINT INSPECTION (POINT & CROSSING),,,Slow Moving,Rationalize,0.0,Operational
462100771983,CLASS A PROTECTION- COPPER TAPE 25mm X3mm,,,Active,Retain,539139.58,Operational
462100772318,D Bracket Cover (Protection cover for switch extension bracket LH and RH with safety faste....,,,Active,Retain,25436.1,Operational
464212020791,RELAY QL1-8F/6B,,,Dead Stock,Dispose,0.0,Operational
468100321144,REMOVABLE CONNECTORS FOR RELAY PINS (Relay clip),,,Slow Moving,Rationalize,0.0,Operational
469000017328,VRLA Battery  2v  200 AH,,,Active,Retain,0.0,Operational
469028560018,REFLECTIVE JACKETS,,,Active,Retain,0.0,Operational
469028772605,ALUMINIUM LADDER SELF SUPPORTING SIZE 8 FEET,,,Dead Stock,Dispose,500.0,Operational
469028950015,SCREW DRIVER 300mm,,,Dead Stock,Dispose,9100.0,Operational
469031052235,Digital INSULATION TESTER (MEGGER),,,Slow Moving,Rationalize,0.0,Operational
469031378918,PRINTER HP LASER JET (All in one ),,,Dead Stock,Dispose,0.0,Operational
469031995099,RCC Cable Marker,,,Active,Retain,64349.25,Operational
469034151893,TABLE STEEL EXECUTIVE,,,Dead Stock,Dispose,1000.0,Operational
469034500012,UNVERSAL AXLE COUNTER RACK (EMPTY RELEASED USED AS  CUP BOARD),,,Dead Stock,Dispose,1000.0,Operational
469034982523,HACK SAW FRAME (SAW FRAME FOR METAL CUTTING),,,Dead Stock,Dispose,150.0,Operational
469035027200,ELECTRONIC DIGITAL VERNIER CALIPER 0 MM-150 MM,,,Dead Stock,Dispose,945.0,Operational
469040561003,Oil Drainer(70 suit 205 L Cap drum),,,Dead Stock,Dispose,50.0,Operational
469056800016,BLOCK INSTRUMENT FM TYPE,,,Active,Retain,0.0,Operational
469909561145,GI PIPE 100MM,,,Active,Retain,0.0,Operational
469909561157,GI PIPE 100MM,,,Active,Retain,100724.4,Operational
469909561303,GI PIPE 100 mm Dia.   .,,,Active,Retain,355892.88,Operational
470200543962,"DG SET, 10KVA",,,Dead Stock,Dispose,0.0,Operational
470500010011,INVERTORS 110V 2 KVA,,,Dead Stock,Dispose,0.0,Operational
47200054/47200250,Transformer 230/110V  - 1 KVA,S3,Procurement Required,,Monitor,13095.64,Strategic
472001760946,TRANSFORMER 230/110V 1KVA(Released),,,Dead Stock,Dispose,0.0,Operational
472002302370,TRANSFORMER RECTIFIER 230/24V/1-A,,,Active,Retain,12335.32,Operational
472100011770,Inverter 24/110/500VA,,,Dead Stock,Dispose,0.0,Operational
472200010039,INTEGRATED POWER SUPPLY (IPS) .,,,Slow Moving,Rationalize,0.0,Operational
472200010271,UPS -1000VA(36VDC/230V-AC),,,Dead Stock,Dispose,4000.0,Operational
479027870607,"55 INCH Commercial LED display UHD large formate TV with HDMI port, USB port, Ethernet po....",,,Slow Moving,Rationalize,0.0,Operational
500108770028,12V 65AH VRLA Battery. (Released),,,Slow Moving,Rationalize,119680.0,Operational
500500680420,Split DWC pipe of 120/103 mm each having 2 meter length,,,Active,Retain,164500.0,Operational
501000260269,GI pipe 100mm,,,Slow Moving,Rationalize,0.0,Operational
501000260269,GI pipe 100mm,,,Active,Retain,5032.8,Operational
501000262102,RELEASED GI pipe 50 MM,,,Slow Moving,Rationalize,0.0,Operational
501000262606,GI pipe 50 mm,,,Active,Retain,1399.77,Operational
501000262606,GI pipe 50 mm,,,Active,Retain,127178.64,Operational
501000262618,GI pipe 75 MM RLD,,,Slow Moving,Rationalize,0.0,Operational
501000262618,RELEASED GI pipe 75 MM,,,Slow Moving,Rationalize,0.0,Operational
501000262862,Released GI Pipe 100 mm,,,Active,Retain,0.0,Operational
501000268657,GI PIPE 100 mm dia,,,Active,Retain,405140.4,Operational
501000269080,GI PIPE 50mm,,,Active,Retain,52166.4,Operational
501000400018,CT BOX 10 PAIR,,,Slow Moving,Rationalize,0.0,Operational
501000400948,CT BOX MS SHEET IRON,,,Slow Moving,Rationalize,0.0,Operational
50132453,Telephone card 3 Way 1.5m long,S3,Procurement Required,,Monitor,0.0,Strategic
50132600,Telephone card 3 Way 1.5m long,S4,Procurement Required,,Monitor,0.0,Strategic
50210014,Emergency Socket Box,S3,Procurement Required,,Monitor,740695.44,Strategic
50231832/50231881,Telephone Electronic Push Button,S3,Sufficient,,Monitor,540504.9,Strategic
50231959,Telephone Electronic Push Button   main - Extn .1+1,S3,Sufficient,,Monitor,646750.0,Strategic
50232319,TELEPHONE MAGNETTO,,,Active,Retain,708578.91,Operational
502323190434,Signal post Telephone (SPT),,,Active,Retain,4720.0,Operational
502323191505,Signal post Telephone (SPT),,,Slow Moving,Rationalize,0.0,Operational
50232356/50232319,Magneto telephone,S2,Procurement Required,,Procure Immediately,598135.2,Strategic
503523410921,DIGITAL VOICE ANNOUNCIATION UNIT,,,Active,Retain,8917.0,Operational
503524620224,Signal post Telephone,,,Active,Retain,11897.35,Operational
50353603,Portable 4 wire Emergency Control Telephone with six pin flat type socket,S3,Sufficient,,Monitor,470112.0,Strategic
50360693/50370110,4 wire way station control telephone RDSO/SPN IRS.TC.38/97 with latest amendment,S4,Procurement Required,,Monitor,817338.8,Strategic
50370080,4 Wire DTMP Way Station Equipment,S3,Procurement Required,,Monitor,624456.0,Strategic
50540324,Lead Acid Stationary Secondary Cells  - 2V/80 AH,S2,Procurement Required,Active,Procure Immediately,0.0,Operational
50541523,Lead Acid Stationary Secondary Cells  - 2V/120 AH,S2,Procurement Required,Active,Procure Immediately,336838.05,Operational
50550081,Lead Acid Stationary Secondary Cells  - 2V/200 AH,S2,Procurement Required,Active,Procure Immediately,523374.6,Operational
508002210705,"Earthing arrangements(Copper bonded steel rod17.2mm*3 Mtr),Compound in 10 KG BAGS -3 Nos f....",,,Active,Retain,134474.61,Operational
508200010447,MAINTENANCE FREE special Earthing arrangement ( Earthing arrangements(Copper bonded stee....,,,Active,Retain,18572.64,Operational
508200010496,special Earthing arrangement ( MAINTENANCE FREE)1) Copper bonded rod 3 Mtr long 17.2mm Di....,,,Active,Retain,1124740.4,Operational
508200010514,Special Earthing arrangement ( Earthing arrangements(Copper bonded steel rod 17.2mm*3 Mtr....,,,Active,Retain,421777.65,Operational
508200010563,MAINTENANCE FREE special Earthing arrangement (Earthing arrangements (Copper bonded stee....,,,Active,Retain,0.0,Operational
508310480768,VRLA Battery 12V 28 AH,,,Active,Retain,0.0,Operational
508503570810,ELD (Earth Leakage Detector)-8 Channel,,,Slow Moving,Rationalize,0.0,Operational
508503570822,ELD (Earth Leakage Detector)-12 Channel,,,Slow Moving,Rationalize,0.0,Operational
508503571966,Earth Leakage Detector (ELD) 12 channels,,,Active,Retain,301683.46,Operational
509000130018,Isolation Transformer,,,Slow Moving,Rationalize,0.0,Operational
509000347883,Storage Lead Acid Battery 12V/65 AH,,,Active,Retain,0.0,Operational
509000348553,CELL Secondary 2V/300AH,,,Slow Moving,Rationalize,0.0,Operational
509000501938,DATALOGGER External Modem For T networking,,,Dead Stock,Dispose,11991.0,Operational
50901126,Lead Acid Batteries  - 4V/12 AH,S2,Procurement Required,,Procure Immediately,0.0,Strategic
509040800606,PULLY BLOCK-4,,,Dead Stock,Dispose,250.0,Operational
509041003659,Solar Panel 12V 35W,,,Dead Stock,Dispose,57744.0,Operational
520500472512,Mobile phone with charger and accessories,,,Active,Retain,687914.0,Operational
521500430050,Central server(rack model )with intel Xeol Silver 4309Y Processor or equivalent or bette....,,,Slow Moving,Rationalize,0.0,Operational
52156576/56500452,Battery charger 230V AC 110V DC 30A,S2,Procurement Required,,Procure Immediately,417130.0,Strategic
52156618,BATTERY CHARGER 230V AC / 24V DC 20 AMPS TO RDSO SPECN.IRS.S.86/2000 AMENDMENT NO.4 OR LAT....,,,Active,Retain,75000.0,Operational
52156618/56509935,Battery charger 230V  AC/24V DC-20A,S2,Procurement Required,,Procure Immediately,0.0,Strategic
522001010016,LAMP 110/25W/3 PIN,,,Slow Moving,Rationalize,0.0,Operational
522001380040,GRS BOX FULL SIZE,,,Active,Retain,389064.0,Operational
522001380180,GRS BOX (Half size),,,Active,Retain,197135.0,Operational
522003030079,EOLB COMPLETE SET,,,Active,Retain,3199588.0,Operational
522003170126,PBT TERMINAL 60MM,,,Active,Retain,0.0,Operational
522004290164,Spare cards FOR MSDAC.,,,Active,Retain,254152.18,Operational
522004880071,MINI IPS,,,Active,Retain,0.0,Operational
539800219048,Storage Battery  12V 80AH,,,Active,Retain,0.0,Operational
539800230019,SEAL BRASS (5/8),,,Dead Stock,Dispose,250.0,Operational
539800290016,Aluminium folding ladder (6'),,,Dead Stock,Dispose,2000.0,Operational
539802223183,Dynamic Hand Set For Double line Block instrument,,,Active,Retain,0.0,Operational
539802990017,DIGITAL INSULATION TESTER(100v),,,Dead Stock,Dispose,0.0,Operational
539803231771,LOCK GODREJ NAVTAL PAD  85MM WITH KEY,,,Dead Stock,Dispose,400.0,Operational
539803365994,LIGHTNING ARRESTER OF CLASS A FOR BUILDING PROTECTION. (NS-1),,,Active,Retain,2520000.0,Operational
539803366007,"Elevation pole/mast of 5m length, for lightning protection. (NS-4)",,,Active,Retain,336000.0,Operational
539804080016,CT Box 20 Pair,,,Dead Stock,Dispose,0.0,Operational
539805041006,Crank Handle FOR POINT MACHINE,,,Dead Stock,Dispose,7500.0,Operational
539805240015,B21. Data logger of 1024 digital and 32 analog input.,,,Dead Stock,Dispose,0.0,Operational
539805675937,Earth leakage detector (ELD)-8 Channels,,,Active,Retain,664554.36,Operational
539805714839,Route indicator Junction type 2 way FRP,,,Active,Retain,0.0,Operational
539805736227,Junction type route indicator 1 way FRP,,,Active,Retain,38305.18,Operational
539805736239,Junction type route indicator 3 way FRP,,,Active,Retain,25526.95,Operational
539805736240,Junction type route indicator 4 Way FRP,,,Active,Retain,0.0,Operational
539805771008,Shunt signal Position light unit with post.,,,Active,Retain,611097.16,Operational
539805863432,RCC Pipe/ split pipe  150mm with coller 2 Mtr length,,,Slow Moving,Rationalize,0.0,Operational
539805880375,INSULATION SET FOR 220MM Ground connection,,,Active,Retain,0.0,Operational
539806735760,Drill bits 7.2 mm,,,Active,Retain,5817.5,Operational
539806747737,PBT Fuse block with out ND fuse,,,Active,Retain,5192.0,Operational
539809991428,Rail insulation 60 Kg,,,Slow Moving,Rationalize,496827.2,Operational
539810120016,Fuse Block PBT Cartridge,,,Dead Stock,Dispose,0.0,Operational
539811550018,ROAD WARNING   FRP Type 3 Aspect FOR DIGITAL VOICE ANOUNCIATING SYSTEM,,,Dead Stock,Dispose,0.0,Operational
539811560012,.....,,,Slow Moving,Rationalize,0.0,Operational
539812600017,MAINTAINER HEAD LAMP,,,Slow Moving,Rationalize,0.0,Operational
539812601010,MAINTAINER HEAD LAMP,,,Dead Stock,Dispose,5848.0,Operational
539812641007,ANNOUNCIATOR 4 WAY,,,Dead Stock,Dispose,0.0,Operational
539812641070,ANNOUNCIATOR 8 WAY,,,Active,Retain,18700.0,Operational
539812820017,CLS 2 ASPECT,,,Slow Moving,Rationalize,6000.0,Operational
539812830047,GRS box half size (Released),,,Dead Stock,Dispose,0.0,Operational
539812900013,LED SIGNAL RED ASPECT FOR ROAD WARNING,,,Slow Moving,Rationalize,348167.04,Operational
539812900013,ROAD WARNING LED SIGNAL RED ASPECT FOR DIGITAL VOICE ANOUNCIATING SYSTEM,,,Dead Stock,Dispose,0.0,Operational
539812910018,LED SIGNAL YELLOW FOR ROAD WARNING FOR DIGITAL VOICE ANOUNCIATING SYSTEM,,,Dead Stock,Dispose,0.0,Operational
539814340357,Communication Equipment - Network Switch,,,Active,Retain,1860000.0,Operational
539814381311,"Operator VDU NS-1 (55 inch Monitor-02Nos, Embedded PC -02 nos, Power supply-02 Nos with ac....",,,Active,Retain,4711500.0,Operational
539814381323,"NS-2( Maintenance   VDU  55-inch Monitor -01 No, Embedded PC -01 No, Power supply-01 No wi....",,,Active,Retain,1788000.0,Operational
539814451192,Relay QN1 (50V)-8F/8B.,,,Active,Retain,146237.4,Operational
539814490010,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V /120 AH,,,Active,Retain,1000624.35,Operational
539816660010,ELETROLYTIC CAPACITOR 5000 MFD,,,Dead Stock,Dispose,0.0,Operational
539817380019,ND FUSE 2 AMPS,,,Active,Retain,255580.92,Operational
539817400018,FUSE PPTC 2 Amps,,,Active,Retain,0.0,Operational
539817560010,FUSE PPTC 6 Amps,,,Slow Moving,Rationalize,0.0,Operational
539817610025,EWS LOCK,,,Slow Moving,Rationalize,0.0,Operational
539817610062,EWS LOCK,,,Active,Retain,18754.03,Operational
539818390010,DIGITAL VOICE ANNOUNCIATOR SYSTEM AMPLIFIER,,,Dead Stock,Dispose,0.0,Operational
539818390010,ROAD WARNING DIGITAL VOICE ANNOUNCIATOR SYSTEM AMPLIFIER,,,Dead Stock,Dispose,0.0,Operational
539818400014,DIGITAL VOICE ANNOUNCIATOR SYSTEM DRIVER UNIT,,,Dead Stock,Dispose,0.0,Operational
539818400014,ROAD WARNING DIGITAL VOICE ANNOUNCIATOR SYSTEM DRIVER UNIT,,,Active,Retain,0.0,Operational
539818410019,DIGITAL VOICE ANNOUNCIATOR SYSTEM  HORN,,,Dead Stock,Dispose,0.0,Operational
539818410019,ROAD WARNING DIGITAL VOICE ANNOUNCIATOR SYSTEM HORN,,,Active,Retain,1500.0,Operational
539818910375,2V/300AH SECONDARY CELLS,,,Slow Moving,Rationalize,0.0,Operational
539819571023,SPD Indicative type  Class D Protective Device for  110V DC (DEHN part no. 953209),,,Dead Stock,Dispose,0.0,Operational
539820850015,CRANK ADJUSTABLE 12 X 18,,,Slow Moving,Rationalize,8101.8,Operational
539820850015,CRANK ADJUSTABLE 12 X 18,,,Slow Moving,Rationalize,81018.0,Operational
539821910019,INSULATION 'L' BRACKET,,,Active,Retain,44327.72,Operational
539822320066,HASSDAC complete Set,,,Slow Moving,Rationalize,0.0,Operational
539822620013,Secondary Cells 2V/200AH,,,Active,Retain,773759.63,Operational
539822930026,Route  indicator junction type 4 way (Metalic),,,Active,Retain,21164.0,Operational
539823790017,EMERGENCY PANEL FOR ELECTRONIC INTERLOCKING,,,Dead Stock,Dispose,2191230.0,Operational
539824660014,Route Indicator junction type 2 way (Metalic),,,Slow Moving,Rationalize,0.0,Operational
539824811004,CABLE 24C X 1.5 SQMM,,,Active,Retain,368742.5,Operational
539824920050,TRANSFORMER RECTIFIER 110/12V/2A,,,Slow Moving,Rationalize,0.0,Operational
539825590032,CLS POST 3.6 MTRS Released,,,Dead Stock,Dispose,0.0,Operational
539826140010,CT Box Point (MS sheet Iron),,,Dead Stock,Dispose,0.0,Operational
539826141002,CT Box  CAST IRON,,,Dead Stock,Dispose,2400.0,Operational
539826141002,CT Box Cover sheet iron type,,,Dead Stock,Dispose,0.0,Operational
539827270016,Pinnacle for signal tubular post.,,,Dead Stock,Dispose,0.0,Operational
539827310014,GI Ground connection IRS Type,,,Active,Retain,59424.0,Operational
539828630016,A SET OF 52KG.INSULATION RAIL JOINT UIC FOUR CHANNEL TYPE (TPU MOULDED) CONSISTING OF: i.C....,,,Slow Moving,Rationalize,67035.0,Operational
539828810018,SSDAC Transmitter coil For CEL MAKE,,,Dead Stock,Dispose,53155.0,Operational
539829341087,Transformer 230/110/ 2 KVA(Released),,,Dead Stock,Dispose,0.0,Operational
539829680120,SPARE for IPS SMR Module of rating 110V 20A As per Spec No. RDSO/SPN/165/2012 (VER 3.0),,,Slow Moving,Rationalize,1943543.23,Operational
539830780010,DC-DC converterIP24VOP24-30/1AMP,,,Dead Stock,Dispose,192000.0,Operational
539831510026,DC-DC convertor 24v/48v /5A,,,Slow Moving,Rationalize,88535.0,Operational
539832391173,IPS DC DC converter 24-40V/5A (spare) [ as per RDSO Spec no. RDSO/SPN/165/2012],,,Dead Stock,Dispose,135732.0,Operational
539832391343,DC DC converter 110V DC 24-40V/5A  ( HBL  make),,,Active,Retain,126555.0,Operational
539838560011,UPS 600 VA,,,Dead Stock,Dispose,0.0,Operational
539840550013,PBT FUSE BLOCK 60MM,,,Active,Retain,128840.48,Operational
539841501095,Fuse PPTC 4 Amps,,,Active,Retain,1752.5,Operational
539848730016,SMS Alert System,,,Slow Moving,Rationalize,0.0,Operational
539850510012,Fuse HRC 63Amps,,,Slow Moving,Rationalize,0.0,Operational
539851050057,Boom for EOLB GATE(Octagonal),,,Active,Retain,93942.1,Operational
539852820041,SPRING FOR KEY LOCK E type,,,Slow Moving,Rationalize,13629.0,Operational
539853730163,EI  Spare cards (KYOSON),,,Slow Moving,Rationalize,0.0,Operational
539859060027,SOLDER WIRE-Flux Cored,,,Slow Moving,Rationalize,0.0,Operational
539860180069,LOCK PAD Godrej square lock 6 levers (50MM),,,Dead Stock,Dispose,779.0,Operational
539860860044,Point Motor for IRS Point Machine  DC,,,Dead Stock,Dispose,0.0,Operational
539863350030,Earthing arrangement (Special earth) copper bonded steel electrodes of 3.0Mtr long 17mm Di....,,,Active,Retain,914564.75,Operational
539863960013,CABLE TERMINATION BOX FRP TYPE(CTB),,,Active,Retain,828687.6,Operational
539863990078,PCINOB CARDS FOR KYOSAN,,,Active,Retain,0.0,Operational
539863990080,PCINIO-B CARDS FOR OPC KYOSAN,,,Active,Retain,0.0,Operational
539863990091,PCINIO-B CARD FOR MTC,,,Active,Retain,0.0,Operational
539865360104,Cable 30 Core X 1.5 Sq.mm,,,Active,Retain,0.0,Operational
539869051904,Cable 12 Core x 1.5 Sq. mm.,,,Active,Retain,0.0,Operational
539871380026,Rodent Repellent Electronic,,,Dead Stock,Dispose,12980.0,Operational
539871380026,Rodent Repellent Electronic,,,Dead Stock,Dispose,6490.0,Operational
539872260077,Modified Point  test Gauge 1.6mm &5mm,,,Slow Moving,Rationalize,0.0,Operational
539872300040,FIT AND FORGET LEAD/BOND WIRE 2 METERS,,,Active,Retain,0.0,Operational
539882051102,GI pipe 100 MM dia,,,Active,Retain,0.0,Operational
539882051114,GI pipe 100MM,,,Active,Retain,228308.64,Operational
539882210058,CLS 4 ASPECT,,,Active,Retain,12584.0,Operational
539883710178,RELAY RACK,,,Slow Moving,Rationalize,91520.0,Operational
539883710725,RELAY RACK,,,Slow Moving,Rationalize,0.0,Operational
539883712606,RELAY RACK,,,Active,Retain,0.0,Operational
539888230912,RELAY QN1  (12F/4B),,,Slow Moving,Rationalize,0.0,Operational
539888230936,Relay QN1 (50V) 12F/4B,,,Slow Moving,Rationalize,81580.0,Operational
539888231825,Relay QN1 8F/8B     (50V),,,Active,Retain,493240.0,Operational
539896890693,KLCR RELAY,,,Active,Retain,30916.0,Operational
539896950525,CLS Unit 2 Aspect FRP,,,Active,Retain,5642232.28,Operational
539896950811,CLS Unit 3 Aspect Main signal unit (FRP),,,Active,Retain,755460.0,Operational
539896951396,shunt signal Unit,,,Slow Moving,Rationalize,10000.0,Operational
539897026805,GI Earth Electrode (EARTH PIPE),,,Active,Retain,226625.0,Operational
539897027755,EARTH ELECTRODE,,,Active,Retain,64750.0,Operational
539897070569,DWC pipe with coupler,,,Active,Retain,0.0,Operational
539897071434,Split DWC PIPE,,,Active,Retain,679875.0,Operational
539897110087,Cable 19 Core x 1.5 Sqm,,,Active,Retain,0.0,Operational
540100050018,Block Bell equipment,,,Slow Moving,Rationalize,0.0,Operational
540100090016,FM Transmitter 1800Hz,,,Active,Retain,18511.25,Operational
540100100010,FM Receiver 1800Hz,,,Slow Moving,Rationalize,0.0,Operational
540100110015,FM Receiver 2700Hz,,,Active,Retain,0.0,Operational
541002290010,Bond wire clip,,,Slow Moving,Rationalize,0.0,Operational
541500100048,SEMAPHORE SIGNAL ARM for Distant signal(Yellow),,,Slow Moving,Rationalize,0.0,Operational
541500100050,SEMAPHORE SIGNAL ARM for warning signal(Red),,,Slow Moving,Rationalize,0.0,Operational
541500150015,Detection Roller for IRS Point Machine,,,Slow Moving,Rationalize,15750.0,Operational
541500850025,.....,,,Dead Stock,Dispose,0.0,Operational
542100010067,Vertical Crank 300x300mm,,,Dead Stock,Dispose,0.0,Operational
542100010079,Ordinary Crank 12 X 12,,,Dead Stock,Dispose,0.0,Operational
542100010079,Crank Ordinary  12 X 12,,,Slow Moving,Rationalize,13891.6,Operational
542218842329,EOLB  SPARE BOOM,,,Active,Retain,28202.0,Operational
542218842640,Control Panel for EOLB,,,Slow Moving,Rationalize,0.0,Operational
542218843012,Spare EOLB of Heidz make - Stop board 600mm Dia,,,Active,Retain,34515.0,Operational
542218843024,Spare EOLB for Heidz make- Limit switch Lever type,,,Active,Retain,0.0,Operational
542218843036,Spare EOLB For Hiedz make - Timing Belt L 300,,,Active,Retain,0.0,Operational
542218843048,"Spare EOLB for hiedz make - Panel LED Indication (Yellow, Green).",,,Active,Retain,0.0,Operational
542218843050,Spare EOLB for Hiedz make - Push button element  01 NC,,,Active,Retain,0.0,Operational
542218843061,Spare EOLB for Hiedz make - Spare magnet for magnet switch set,,,Active,Retain,0.0,Operational
542218843073,Spare EOLB for Hiedz make - MSR Relay 24 VDC,,,Active,Retain,0.0,Operational
542218891018,Pin For Top Roller,,,Active,Retain,8670.0,Operational
542222890244,"Sliding Boom Complete set. Including all channels, Pipes, rollers, E type locks etc One c....",,,Slow Moving,Rationalize,0.0,Operational
542222890360,Sliding Boom Complete set.,,,Slow Moving,Rationalize,0.0,Operational
