PL_Code,Description,Inventory_Domain,Business_Unit,Division,Equipment_Family,Source_Universe,ABC_Class,Criticality,Current_Stock,Unit_Cost,Inventory_Value,Depot,Snapshot_Date,Pipeline_Version
50540324,Lead Acid Stationary Secondary Cells  - 2V/80 AH,Railway_Operations,PGT,Palakkad,Battery / Cell,Both,A,S2,4304.0,3449.6,14847078.4,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
56501018,Cable 30 C x 1.5 Sq.mm,Railway_Operations,PGT,Palakkad,Signal Cable,Both,A,S1,14152.0,581.11,8223868.72,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
50550081,Lead Acid Stationary Secondary Cells  - 2V/200 AH,Railway_Operations,PGT,Palakkad,Battery / Cell,Both,A,S2,1532.0,6368.0,9755776.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
56509959,Cable 12 C x 1.5 Sq.mm,Railway_Operations,PGT,Palakkad,Signal Cable,Both,A,S1,38752.0,235.99,9145084.48,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
56468039,LED Red aspect with accessories,Railway_Operations,PGT,Palakkad,LED Signal,Both,A,S1,943.0,8897.2,8390059.6,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
56468052,LED Yellow aspect with accessories,Railway_Operations,PGT,Palakkad,LED Signal,Both,A,S1,632.0,8906.64,5628996.48,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
56468040,LED Green Aspect with accessories,Railway_Operations,PGT,Palakkad,LED Signal,Both,A,S1,472.0,10166.88,4798767.36,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
50232356/50232319,Magneto telephone,Railway_Operations,MAS,Chennai,Telephone,Strategic,A,S2,114.0,5246.8,598135.2,,2026-03-31,12.5.0
56501006,Cable 24 C x 1.5 Sq.mm,Railway_Operations,PGT,Palakkad,Signal Cable,Both,A,S1,6942.0,449.58,3120984.36,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
56119537,Cable 2 C x 2.5 sq.mm,Railway_Operations,PGT,Palakkad,Signal Cable,Both,B1,S1,43539.0,96.63,4207173.57,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
56450217,Relay AC Immune Plug in type style-QSPA1,Railway_Operations,PGT,Palakkad,Relay,Both,B1,S3,296.0,5243.92,1552200.32,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
56468027,Route LED Signal lightning unit 100 V AC,Railway_Operations,PGT,Palakkad,LED Signal,Both,B1,S1,319.0,5967.2,1903536.8,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
56462050,AC Shunt Signal LED with in built current regulator,Railway_Operations,PGT,Palakkad,LED Signal,Both,B1,S1,435.0,5711.2,2484372.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
50541523,Lead Acid Stationary Secondary Cells  - 2V/120 AH,Railway_Operations,PGT,Palakkad,Battery / Cell,Both,B2,S2,354.0,4497.92,1592263.68,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
56450229,Relay AC Immune Plug in type style-QTA2,Railway_Operations,PGT,Palakkad,Relay,Both,B2,S3,156.0,2356.46,367607.76,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
52156576/56500452,Battery charger 230V AC 110V DC 30A,Railway_Operations,MAS,Chennai,Power Supply,Strategic,B2,S2,7.0,59590.0,417130.0,,2026-03-31,12.5.0
56468064,Calling on LED Signal lightning unit 100 V AC,Railway_Operations,PGT,Palakkad,LED Signal,Both,B2,S1,150.0,6846.36,1026954.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
50370080,4 Wire DTMP Way Station Equipment,Railway_Operations,MAS,Chennai,Telephone,Strategic,B2,S3,216.0,2891.0,624456.0,,2026-03-31,12.5.0
56451027,Relay AC  Immune Plug in  type style-QBCA1,Railway_Operations,PGT,Palakkad,Relay,Both,B2,S3,46.0,3367.77,154917.42,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
50360693/50370110,4 wire way station control telephone RDSO/SPN IRS.TC.38/97 with latest amendment,Railway_Operations,MAS,Chennai,Telephone,Strategic,C,S4,587.0,1392.4,817338.8,,2026-03-31,12.5.0
50231832/50231881,Telephone Electronic Push Button,Railway_Operations,MAS,Chennai,Telephone,Strategic,C,S3,1131.0,477.9,540504.9,,2026-03-31,12.5.0
56163034,Voltage stabilizer 3 KVA-230V.,Railway_Operations,PGT,Palakkad,Power Supply,Both,C,S3,17.0,38792.5,659472.5,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
56509376,A.R.A Terminal Block 25mm PBT small,Railway_Operations,PGT,Palakkad,Termination / Wiring,Both,C,S2,10200.0,52.42,534684.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
50210014,Emergency Socket Box,Railway_Operations,MAS,Chennai,Termination / Wiring,Strategic,C,S3,204.0,3630.86,740695.44,,2026-03-31,12.5.0
56987122/56110029,Cable 3 C x 10 sq.mm,Railway_Operations,MAS,Chennai,Signal Cable,Strategic,C,S1,3988.0,124490.0,496466120.0,,2026-03-31,12.5.0
50353603,Portable 4 wire Emergency Control Telephone with six pin flat type socket,Railway_Operations,MAS,Chennai,Telephone,Strategic,C,S3,332.0,1416.0,470112.0,,2026-03-31,12.5.0
72081181/72207413,Drill Twist 7.2 mm,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S3,2528.0,70.45,178097.6,,2026-03-31,12.5.0
56502540,Fuse ND type  RDSO spn 78/92 6 Amps,Railway_Operations,PGT,Palakkad,Other / Unclassified,Both,C,S2,3715.0,76.45,284011.75,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
56507641,Channel Bond Pin,Railway_Operations,PGT,Palakkad,Other / Unclassified,Both,C,S3,133772.0,1.62,216710.64,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
56509388,A.R.A Terminal Block 60mm PBT,Railway_Operations,PGT,Palakkad,Termination / Wiring,Both,C,S2,2800.0,74.34,208152.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
56502576,Fuse ND type RDSO spn 78/92 16 Amps,Railway_Operations,PGT,Palakkad,Other / Unclassified,Both,C,S2,3672.0,80.36,295081.92,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
56502606,Fuse ND type RDSO spn 78/92 10 Amps,Railway_Operations,PGT,Palakkad,Other / Unclassified,Both,C,S2,3140.0,79.95,251043.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
47200054/47200250,Transformer 230/110V  - 1 KVA,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S3,2.0,6547.82,13095.64,,2026-03-31,12.5.0
91150401,SOLDER CORE RESIN FILLED (Kgs.),Railway_Operations,PGT,Palakkad,LED Signal,Both,C,S4,125.0,2338.26,292282.5,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
50231959,Telephone Electronic Push Button   main - Extn .1+1,Railway_Operations,MAS,Chennai,Telephone,Strategic,C,S3,199.0,3250.0,646750.0,,2026-03-31,12.5.0
54253561,Hand Plungerlock with key,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S3,2.0,6962.0,13924.0,,2026-03-31,12.5.0
45174404/45174416,Hydro meter complete set,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S3,1192.0,62.66,74690.72,,2026-03-31,12.5.0
56509960,Cable 2 C x 25 sq.mm,Railway_Operations,PGT,Palakkad,Signal Cable,Both,C,S1,9.057,1174.1,10633.82,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
67900203,Auto Battery  12V X130 AH 19 plate,Railway_Operations,MAS,Chennai,Battery / Cell,Strategic,C,S3,0.0,0.0,0.0,,2026-03-31,12.5.0
56500350,Battery charger 110V AC 24V DC 30A,Railway_Operations,PGT,Palakkad,Power Supply,Both,C,S4,21.0,0.0,0.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
52156618/56509935,Battery charger 230V  AC/24V DC-20A,Railway_Operations,MAS,Chennai,Power Supply,Strategic,C,S2,0.0,0.0,0.0,,2026-03-31,12.5.0
50901126,Lead Acid Batteries  - 4V/12 AH,Railway_Operations,MAS,Chennai,Battery / Cell,Strategic,C,S2,0.0,928.0,0.0,,2026-03-31,12.5.0
40981381,Wire coil PVC 16/0.2 mm,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S3,0.0,0.0,0.0,,2026-03-31,12.5.0
56160100,Battery Charger 230V/24V 40 AMPS,Railway_Operations,PGT,Palakkad,Power Supply,Both,C,S2,0.0,55460.0,0.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
56119033,Cable 19 C x 1.5 sq.mm,Railway_Operations,PGT,Palakkad,Signal Cable,Both,C,S1,236.0,341197.0,80522492.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
56511516,Railjoint Insulation 60Kg.,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S2,0.0,866.12,0.0,,2026-03-31,12.5.0
50132453,Telephone card 3 Way 1.5m long,Railway_Operations,MAS,Chennai,Telephone,Strategic,C,S3,0.0,0.0,0.0,,2026-03-31,12.5.0
54252222,E-TYPE LOCK,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S4,0.0,2758.0,0.0,,2026-03-31,12.5.0
56505959,RKT single various wards,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S4,0.0,9031.0,0.0,,2026-03-31,12.5.0
67900185,Auto Battery 12V/75AH,Railway_Operations,MAS,Chennai,Battery / Cell,Strategic,C,S4,0.0,0.0,0.0,,2026-03-31,12.5.0
56509686,Transformer 230/110V  -  3 KVA,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S4,0.0,0.0,0.0,,2026-03-31,12.5.0
56301704,Ground Connection for IRS Point Machine,Railway_Operations,PGT,Palakkad,Point Machine,Both,C,S4,0.0,0.0,0.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
56986210,FS CABLE,Railway_Operations,MAS,Chennai,Signal Cable,Strategic,C,S4,0.0,0.0,0.0,,2026-03-31,12.5.0
56160112,BATTERY CHARGER 230V/24V/50AMPS,Railway_Operations,MAS,Chennai,Power Supply,Strategic,C,S4,0.0,0.0,0.0,,2026-03-31,12.5.0
56060002,RAIL JOINT INSULATION 52kg. nylon comp.,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S4,0.0,0.0,0.0,,2026-03-31,12.5.0
50132600,Telephone card 3 Way 1.5m long,Railway_Operations,MAS,Chennai,Telephone,Strategic,C,S4,0.0,0.0,0.0,,2026-03-31,12.5.0
41095066,PVC Insulation TAPE (Mtrs),Railway_Operations,PGT,Palakkad,Other / Unclassified,Both,C,S4,31965.0,0.0,0.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
40070359,Wire coil 3/0 75 mm,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S4,0.0,0.0,0.0,,2026-03-31,12.5.0
56985526,Fuse ND Type RDSO Spn 78/92 4A Maps,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S4,0.0,0.0,0.0,,2026-03-31,12.5.0
781508540015,CHAIR FOR DATALOGGER,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,2.0,1200.0,2400.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
781508550010,CHAIR TUBULAR ARM WITH NYLON SEAT,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,9.0,644.44,5800.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
783000281273,Rack wooden FOR BOOKS,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,2.0,500.0,1000.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
783000631338,TABLE WOODEN WITH  FOUR DRAWER,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,750.0,750.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
783000631727,TABLE WOODEN TW,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,11.0,331.82,3650.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
783004240010,TRAY DEAL WOOD,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,4.0,200.0,800.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
783100277395,TABLE TUBULAR STEEL,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,2.0,600.0,1200.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
787902510010,GLASS FRONTED BOX FOR KEYS,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,500.0,500.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
789024500018,IRON RACK SKELETON TYPE 10'X6',Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,3.0,3500.0,10500.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
869022810017,CUP BOARD  EMPTY AXLE COUNTER  EVALUATER RACK,Railway_Operations,PGT,Palakkad,Axle Counter,Operational,C,,3.0,400.0,1200.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
902900130011,RACK STEEL For KEEPING FILE 4 PLANS,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,2.0,750.0,1500.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
909001290010,RACK BOILER TUBE WITH 6 PARTITION,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,6.0,750.0,4500.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
909001300015,RACK For OFFICE FILE,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,9.0,750.0,6750.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
909001310010,RACK STEEL TO DRG NO OJA/31/61,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,6.0,750.0,4500.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
909001320014,SHEET IRON BATTERY BOX( CUP BOARD),Railway_Operations,PGT,Palakkad,Battery / Cell,Operational,C,,12.0,750.0,9000.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
451700030960,Battery Box Wooden for 3 Cells,Railway_Operations,PGT,Palakkad,Battery / Cell,Operational,C,,0.0,200.0,0.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
469034151893,TABLE STEEL EXECUTIVE,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,1000.0,1000.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
469034500012,UNVERSAL AXLE COUNTER RACK (EMPTY RELEASED USED AS  CUP BOARD),Railway_Operations,PGT,Palakkad,Axle Counter,Operational,C,,1.0,1000.0,1000.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
559000770019,RACK BOILER TUBE WITH 4 PARTITION,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,4.0,1000.0,4000.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
657901430017,IRON RACK 3TIER 6' X 6',Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,10.0,2000.0,20000.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
781009670010,CUP BOARD T/W SLIDING DOOR 04 SHELVES,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,300.0,300.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
781009680014,CUP BOARD T/W SLIDING DOORS 24 PIEGION HOLES,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,300.0,300.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
781010270018,SHELF WOODEN WITH PARTITION,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,750.0,750.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
781010280012,STOOL  Wooden LOCALY MADE,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,3.0,750.0,2250.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
781506340096,TABLE STEEL TUBULAR,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,1000.0,1000.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
781508520016,Furniture Steel.(Almirah steel 1980 x 915 x 485),Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,6.0,2116.67,12700.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
781508530010,Furniture Steel. (Almirah steel for datalogger),Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,3000.0,3000.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
679001590014,Tarpauline for Lorry,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,1000.0,1000.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
655900010011,LORRY  KL-9B 681,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,0.0,427906.0,0.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
570102270010,Printer Deskjet/Inkjet(Epson),Railway_Operations,PGT,Palakkad,Printer,Operational,C,,2.0,11815.0,23630.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
539871380026,Rodent Repellent Electronic,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,2.0,6490.0,12980.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
472200010271,UPS -1000VA(36VDC/230V-AC),Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,2.0,2000.0,4000.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
469035027200,ELECTRONIC DIGITAL VERNIER CALIPER 0 MM-150 MM,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,945.0,945.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
539812601010,MAINTAINER HEAD LAMP,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,2.0,2924.0,5848.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
729079690012,CALCULATOR,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,600.0,600.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
439900100017,Auqaguard UV water purifier,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,1500.0,1500.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
657901291431,Weighing Machine 30 Kg,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,2299.0,2299.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
551200011370,LOCK PAD 35MM,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,2.0,242.0,484.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
729081591716,LOCK PAD IRON 50 mm,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,5.0,90.0,450.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
539803231771,LOCK GODREJ NAVTAL PAD  85MM WITH KEY,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,2.0,200.0,400.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
909001330019,LOCK PAD IRON 65MM,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,83.0,83.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
539860180069,LOCK PAD Godrej square lock 6 levers (50MM),Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,2.0,389.5,779.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
620706500058,Lock Pad Godrej 40mm,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,2.0,50.0,100.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
657900290819,TOOL GRINDER BENCH TYPE WITH 8 INCH STONE,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,2500.0,2500.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
602590680503,BAR CROW,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,2.0,150.0,300.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
560604892384,HAMMER SLEDGE-5LBS,Railway_Operations,PGT,Palakkad,LED Signal,Operational,C,,1.0,300.0,300.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
559000790195,PLIER GRIP Miscellaneous.,Railway_Operations,PGT,Palakkad,Battery / Cell,Operational,C,,1.0,1500.0,1500.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
559000780013,CEREMONIAL LEVER,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,2.0,1000.0,2000.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
543500030019,Aluminium LADDER 18',Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,700.0,700.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
539802990017,DIGITAL INSULATION TESTER(100v),Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,0.0,1500.0,0.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
539800290016,Aluminium folding ladder (6'),Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,2.0,1000.0,2000.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
539800230019,SEAL BRASS (5/8),Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,250.0,250.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
509040800606,PULLY BLOCK-4,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,250.0,250.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
469040561003,Oil Drainer(70 suit 205 L Cap drum),Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,50.0,50.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
469034982523,HACK SAW FRAME (SAW FRAME FOR METAL CUTTING),Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,150.0,150.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
469028772605,ALUMINIUM LADDER SELF SUPPORTING SIZE 8 FEET,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,500.0,500.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
430200020035,Digital Multimeter make Rishi,Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,1.0,9000.0,9000.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
430199810015,Clamp Multimeter/Tester (Digital),Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,0.0,7500.0,0.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
429079130015,"Soldering iron, 65 Watt",Railway_Operations,PGT,Palakkad,Other / Unclassified,Operational,C,,0.0,250.0,0.0,JE/SIG/SRM/PGT037254-S AND T-SR,2026-03-31,12.5.0
